CPMG train data
Estimated phase correction: -2.069873 rad
time in s	real part	imag part	abs value
0.007203	-0.003055	-0.005232	0.006058
0.007253	-0.002858	-0.005920	0.006573
0.007303	-0.002900	-0.005249	0.005997
0.007353	-0.002596	-0.004950	0.005590
0.007403	-0.003397	-0.005176	0.006192
0.007453	-0.003460	-0.005426	0.006436
0.007503	-0.002728	-0.005596	0.006225
0.007553	-0.002715	-0.005716	0.006328
0.007603	-0.002681	-0.005499	0.006118
0.007653	-0.003189	-0.005271	0.006160
0.007703	-0.002539	-0.005805	0.006335
0.007753	-0.002861	-0.005701	0.006379
0.007803	-0.003123	-0.005871	0.006650
0.007853	-0.002909	-0.004791	0.005606
0.007903	-0.003060	-0.005758	0.006520
0.007953	-0.003225	-0.005336	0.006235
0.008003	-0.002671	-0.005083	0.005743
0.008053	-0.002710	-0.005554	0.006179
0.008103	-0.002807	-0.005192	0.005902
0.008153	-0.002577	-0.005577	0.006143
0.008203	-0.003314	-0.005100	0.006082
0.008253	-0.002964	-0.005227	0.006009
0.008303	-0.002751	-0.005430	0.006087
0.008353	-0.002721	-0.005325	0.005979
0.008403	-0.003279	-0.005323	0.006252
0.008453	-0.002986	-0.004687	0.005558
0.008503	-0.002807	-0.005351	0.006043
0.008553	-0.002872	-0.005519	0.006222
0.008603	-0.002979	-0.005391	0.006159
0.008653	-0.003025	-0.004765	0.005644
0.008703	-0.002566	-0.004897	0.005528
0.008753	-0.002913	-0.004944	0.005739
0.008803	-0.002978	-0.004971	0.005795
0.008853	-0.002562	-0.005412	0.005988
0.008903	-0.002770	-0.004718	0.005471
0.008953	-0.003251	-0.004980	0.005947
0.009003	-0.002724	-0.005056	0.005743
0.009053	-0.002848	-0.004747	0.005536
0.009103	-0.002682	-0.005060	0.005727
0.009153	-0.002783	-0.005667	0.006313
0.009203	-0.002976	-0.004885	0.005720
0.009253	-0.002922	-0.005067	0.005849
0.009303	-0.002792	-0.004752	0.005511
0.009353	-0.002876	-0.004871	0.005657
0.009403	-0.002861	-0.004796	0.005584
0.009453	-0.002477	-0.005018	0.005596
0.009503	-0.002659	-0.004988	0.005652
0.009553	-0.002571	-0.005086	0.005699
0.009603	-0.002800	-0.005146	0.005859
0.009653	-0.003102	-0.005260	0.006106
0.009703	-0.002936	-0.005069	0.005858
0.009753	-0.002327	-0.005207	0.005704
0.009803	-0.003104	-0.004612	0.005560
0.009853	-0.002549	-0.004967	0.005583
0.009903	-0.002631	-0.004853	0.005520
0.009953	-0.002705	-0.004973	0.005661
0.010003	-0.002343	-0.004890	0.005422
0.010053	-0.002639	-0.004751	0.005434
0.010103	-0.003015	-0.004666	0.005555
0.010153	-0.002600	-0.004936	0.005579
0.010203	-0.003153	-0.004952	0.005870
0.010253	-0.002815	-0.005029	0.005764
0.010303	-0.002121	-0.005536	0.005928
0.010353	-0.002847	-0.004827	0.005604
0.010403	-0.002760	-0.005072	0.005774
0.010453	-0.002860	-0.004603	0.005419
0.010503	-0.002625	-0.004916	0.005573
0.010553	-0.002792	-0.005213	0.005914
0.010603	-0.002892	-0.004784	0.005590
0.010653	-0.002357	-0.005149	0.005662
0.010703	-0.002898	-0.005152	0.005911
0.010753	-0.002756	-0.004359	0.005157
0.010803	-0.002882	-0.004920	0.005702
0.010853	-0.002518	-0.005120	0.005705
0.010903	-0.002079	-0.004951	0.005370
0.010953	-0.003105	-0.004488	0.005458
0.011003	-0.002639	-0.004281	0.005029
0.011053	-0.003024	-0.004997	0.005841
0.011103	-0.003191	-0.004693	0.005675
0.011153	-0.002078	-0.004867	0.005292
0.011203	-0.002506	-0.005023	0.005614
0.011253	-0.002160	-0.004996	0.005442
0.011303	-0.002746	-0.005158	0.005843
0.011353	-0.002779	-0.005010	0.005729
0.011403	-0.002728	-0.004285	0.005080
0.011453	-0.002346	-0.004832	0.005371
0.011503	-0.002632	-0.004969	0.005623
0.011553	-0.002638	-0.004738	0.005422
0.011603	-0.002759	-0.004888	0.005613
0.011653	-0.002547	-0.004745	0.005385
0.011703	-0.002488	-0.004909	0.005504
0.011753	-0.002573	-0.005217	0.005817
0.011803	-0.002755	-0.004434	0.005220
0.011853	-0.002726	-0.004774	0.005497
0.011903	-0.002851	-0.004714	0.005509
0.011953	-0.002733	-0.004593	0.005345
0.012003	-0.002236	-0.004543	0.005063
0.012053	-0.002487	-0.004393	0.005048
0.012103	-0.002369	-0.004659	0.005227
0.012153	-0.002575	-0.005296	0.005889
0.012203	-0.002428	-0.004620	0.005219
0.012253	-0.002583	-0.005005	0.005632
0.012303	-0.002248	-0.004376	0.004919
0.012353	-0.003021	-0.004585	0.005491
0.012403	-0.002782	-0.004278	0.005103
0.012453	-0.002184	-0.004181	0.004717
0.012503	-0.002578	-0.004625	0.005295
0.012553	-0.002700	-0.004178	0.004975
0.012603	-0.001988	-0.004686	0.005091
0.012653	-0.002672	-0.004716	0.005420
0.012703	-0.002219	-0.004796	0.005285
0.012753	-0.002316	-0.004446	0.005013
0.012803	-0.002642	-0.004748	0.005433
0.012853	-0.002588	-0.004499	0.005190
0.012903	-0.002634	-0.004240	0.004991
0.012953	-0.002672	-0.004315	0.005075
0.013003	-0.002661	-0.004952	0.005622
0.013053	-0.002728	-0.004198	0.005006
0.013103	-0.002916	-0.004588	0.005436
0.013153	-0.002800	-0.004887	0.005632
0.013203	-0.002338	-0.004791	0.005331
0.013253	-0.002353	-0.004168	0.004787
0.013303	-0.002426	-0.004294	0.004931
0.013353	-0.002691	-0.004407	0.005164
0.013403	-0.002657	-0.004246	0.005008
0.013453	-0.002281	-0.004259	0.004832
